Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Acura,MDX,SUV,Asia,All,36945,33337,3.5,6.0,265.0,17.0,23.0,4451.0,106.0,189.0
Acura,RSX Type S 2dr,Sedan,Asia,Front,23820,21761,2.0,4.0,200.0,24.0,31.0,2778.0,101.0,172.0
Acura,TSX 4dr,Sedan,Asia,Front,26990,24647,2.4,4.0,200.0,22.0,29.0,3230.0,105.0,183.0
Acura,TL 4dr,Sedan,Asia,Front,33195,30299,3.2,6.0,270.0,20.0,28.0,3575.0,108.0,186.0
Acura,3.5 RL 4dr,Sedan,Asia,Front,43755,39014,3.5,6.0,225.0,18.0,24.0,3880.0,115.0,197.0
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,46100,41100,3.5,6.0,225.0,18.0,24.0,3893.0,115.0,197.0
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,89765,79978,3.2,6.0,290.0,17.0,24.0,3153.0,100.0,174.0
Audi,A4 1.8T 4dr,Sedan,Europe,Front,25940,23508,1.8,4.0,170.0,22.0,31.0,3252.0,104.0,179.0
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,35940,32506,1.8,4.0,170.0,23.0,30.0,3638.0,105.0,180.0
Audi,A4 3.0 4dr,Sedan,Europe,Front,31840,28846,3.0,6.0,220.0,20.0,28.0,3462.0,104.0,179.0
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,33430,30366,3.0,6.0,220.0,17.0,26.0,3583.0,104.0,179.0
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,34480,31388,3.0,6.0,220.0,18.0,25.0,3627.0,104.0,179.0
Audi,A6 3.0 4dr,Sedan,Europe,Front,36640,33129,3.0,6.0,220.0,20.0,27.0,3561.0,109.0,192.0
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,39640,35992,3.0,6.0,220.0,18.0,25.0,3880.0,109.0,192.0
Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,42490,38325,3.0,6.0,220.0,20.0,27.0,3814.0,105.0,180.0
Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,All,44240,40075,3.0,6.0,220.0,18.0,25.0,4013.0,105.0,180.0
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,42840,38840,2.7,6.0,250.0,18.0,25.0,3836.0,109.0,192.0
Audi,A6 4.2 Quattro 4dr,Sedan,Europe,All,49690,44936,4.2,8.0,300.0,17.0,24.0,4024.0,109.0,193.0
Audi,A8 L Quattro 4dr,Sedan,Europe,All,69190,64740,4.2,8.0,330.0,17.0,24.0,4399.0,121.0,204.0
